hebrew_word,lemma,transliteration,english_translation,parsing_abbreviation,strongs_number,book,chapter,ordinal,reading_order_position
אֲבִישַׁג֙,H49,’ă·ḇî·šaḡ,Abishag,N‑proper‑fs,H49,1 Kings,1,32,25
חַגִּ֛ית,H2294,ḥag·gîṯ,of Haggith,N‑proper‑fs,H2294,1 Kings,1,48,25
אֲדֹנִיָּֽה׃,H138,’ă·ḏō·nî·yāh.,Adonijah,N‑proper‑ms,H138,1 Kings,1,86,25
וּבְנָיָ֨הוּ,H1141,ū·ḇə·nā·yā·hū,and Benaiah,Conj‑w | N‑proper‑ms,H1141,1 Kings,1,88,25
וְשִׁמְעִ֣י,H8096,wə·šim·‘î,and Shimei,Conj‑w | N‑proper‑ms,H8096,1 Kings,1,93,25
וְרֵעִ֔י,H7472,"wə·rê·‘î,",and Rei,Conj‑w | N‑proper‑ms,H7472,1 Kings,1,94,25
הַזֹּחֶ֔לֶת,H2120,"haz·zō·ḥe·leṯ,",the stone of Zoheleth,N‑proper‑fs,H2120,1 Kings,1,108,25
רֹגֵ֑ל,H5883,rō·ḡêl;,En Rogel,N‑proper‑fs,H5883,1 Kings,1,111,25
הַפִּרְדָּ֖ה,H6506,hap·pir·dāh,mule,Art | N‑fs,H6506,1 Kings,1,439,25
גִּחֽוֹן׃,H1521,gi·ḥō·wn.,Gihon,N‑proper‑fs,H1521,1 Kings,1,444,25
וְהַפְּלֵתִ֔י,H6432,"wə·hap·pə·lê·ṯî,",and the Pelethites,"Conj‑w, Art | N‑proper‑ms",H6432,1 Kings,1,513,25
וְלַעֲמָשָׂ֤א,H6021,wə·la·‘ă·mā·śā,and Amasa,"Conj‑w, Prep‑l | N‑proper‑ms",H6021,1 Kings,2,824,25
יֶ֙תֶר֙,H3500,ye·ṯer,of Jether,N‑proper‑ms,H3500,1 Kings,2,826,25
בַרְזִלַּ֤י,H1271,ḇar·zil·lay,of Barzillai,N‑proper‑ms,H1271,1 Kings,2,847,25
גֵּרָ֥א,H1617,gê·rā,of Gera,N‑proper‑ms,H1617,1 Kings,2,865,25
מִבַּחֻרִים֒,H980,mib·ba·ḥu·rîm,from Bahurim,Prep‑m | N‑proper‑ms,H980,1 Kings,2,867,25
מַחֲנָ֑יִם,H4266,ma·ḥă·nā·yim;,to Mahanaim,N‑proper‑fs,H4266,1 Kings,2,874,25
מַעֲכָ֖ה,H4601,ma·‘ă·ḵāh,of Maachah,N‑proper‑ms,H4601,1 Kings,2,1362,25
וּבְיִשְׁרַ֥ת,H3483,ū·ḇə·yiš·raṯ,and in uprightness,"Conj‑w, Prep‑b | N‑fsc",H3483,1 Kings,3,1561,25
זֹנ֖וֹת,H2185,zō·nō·wṯ,[who were] harlots,N‑fp,H2185,1 Kings,3,1719,25
שִׁישָׁ֖א,H7894,šî·šā,of Shisha,N‑proper‑ms,H7894,1 Kings,4,1917,25
