hebrew_word,lemma,transliteration,english_translation,parsing_abbreviation,strongs_number,book,chapter,ordinal,reading_order_position
שְׁמוֹת֙,H8034,šə·mō·wṯ,[are] the names,N‑mpc,H8034,Exodus,1,1,27
בְּנֵ֣י,H1121,bə·nê,of the sons,N‑mpc,H1121,Exodus,1,2,27
יִשְׂרָאֵ֔ל,H3478,"yiś·rā·’êl,",of Israel,N‑proper‑ms,H3478,Exodus,1,3,27
הַבָּאִ֖ים,H935,hab·bā·’îm,who came,Art | V‑Qal‑Prtcpl‑mp,H935,Exodus,1,4,27
מִצְרָ֑יְמָה,H4714,miṣ·rā·yə·māh;,to Egypt,N‑proper‑fs | 3fs,H4714,Exodus,1,5,27
אֵ֣ת,H854,’êṯ,with,Prep,H854,Exodus,1,6,27
יַעֲקֹ֔ב,H3290,"ya·‘ă·qōḇ,",Jacob,N‑proper‑ms,H3290,Exodus,1,7,27
אִ֥ישׁ,H376,’îš,each man,N‑ms,H376,Exodus,1,8,27
וּבֵית֖וֹ,H1004,ū·ḇê·ṯōw,and his household,Conj‑w | N‑msc | 3ms,H1004,Exodus,1,9,27
בָּֽאוּ׃,H935,bā·’ū.,came,V‑Qal‑Perf‑3cp,H935,Exodus,1,10,27
שִׁמְע֔וֹן,H8095,"šim·‘ō·wn,",Simeon,N‑proper‑ms,H8095,Exodus,1,11,27
לֵוִ֖י,H3878,lê·wî,Levi,N‑proper‑ms,H3878,Exodus,1,12,27
וִיהוּדָֽה׃,H3063,wî·hū·ḏāh.,and Judah,Conj‑w | N‑proper‑ms,H3063,Exodus,1,13,27
זְבוּלֻ֖ן,H2074,zə·ḇū·lun,Zebulun,N‑proper‑ms,H2074,Exodus,1,14,27
וּבְנְיָמִֽן׃‪‬,H1144,ū·ḇə·nə·yā·min,and Benjamin,Conj‑w | N‑proper‑ms,H1144,Exodus,1,15,27
וְנַפְתָּלִ֖י,H5321,wə·nap̄·tā·lî,and Naphtali,Conj‑w | N‑proper‑ms,H5321,Exodus,1,16,27
גָּ֥ד,H1410,gāḏ,Gad,N‑proper‑ms,H1410,Exodus,1,17,27
וְאָשֵֽׁר׃,H836,wə·’ā·šêr.,and Asher,Conj‑w | N‑proper‑ms,H836,Exodus,1,18,27
כָּל־,H3605,kāl-,all,N‑msc,H3605,Exodus,1,19,27
נֶ֛פֶשׁ,H5315,ne·p̄eš,the souls,N‑fsc,H5315,Exodus,1,20,27
יֹצְאֵ֥י,H3318,yō·ṣə·’ê,who were,V‑Qal‑Prtcpl‑mpc,H3318,Exodus,1,21,27
יֶֽרֶךְ־,H3409,ye·reḵ-,descendants,N‑fsc,H3409,Exodus,1,22,27
יַעֲקֹ֖ב,H3290,ya·‘ă·qōḇ,of Jacob,N‑proper‑ms,H3290,Exodus,1,23,27
שִׁבְעִ֣ים,H7657,šiḇ·‘îm,seventy,Number‑cp,H7657,Exodus,1,24,27
נָ֑פֶשׁ,H5315,nā·p̄eš;,souls,N‑fs,H5315,Exodus,1,25,27
וְיוֹסֵ֖ף,H3130,wə·yō·w·sêp̄,for Joseph,Conj‑w | N‑proper‑ms,H3130,Exodus,1,26,27
הָיָ֥ה,H1961,hā·yāh,was,V‑Qal‑Perf‑3ms,H1961,Exodus,1,27,27
בְמִצְרָֽיִם׃,H4714,ḇə·miṣ·rā·yim.,[already] in Egypt,Prep‑b | N‑proper‑fs,H4714,Exodus,1,28,27
יוֹסֵף֙,H3130,yō·w·sêp̄,Joseph,N‑proper‑ms,H3130,Exodus,1,29,27
וְכָל־,H3605,wə·ḵāl,and all,Conj‑w | N‑msc,H3605,Exodus,1,30,27
אֶחָ֔יו,H251,"’e·ḥāw,",his brothers,N‑mpc | 3ms,H251,Exodus,1,31,27
וְכֹ֖ל,H3605,wə·ḵōl,and all,Conj‑w | N‑msc,H3605,Exodus,1,32,27
הַדּ֥וֹר,H1755,had·dō·wr,generation,Art | N‑ms,H1755,Exodus,1,33,27
הַהֽוּא׃,H1931,ha·hū.,that,Art | Pro‑3ms,H1931,Exodus,1,34,27
יִשְׂרָאֵ֗ל,H3478,"yiś·rā·’êl,",of Israel,N‑proper‑ms,H3478,Exodus,1,35,27
פָּר֧וּ,H6509,pā·rū,were fruitful,V‑Qal‑Perf‑3cp,H6509,Exodus,1,36,27
וַֽיִּשְׁרְצ֛וּ,H8317,way·yiš·rə·ṣū,and increased abundantly,Conj‑w | V‑Qal‑ConsecImperf‑3mp,H8317,Exodus,1,37,27
וַיִּרְבּ֥וּ,H7235,way·yir·bū,and multiplied,Conj‑w | V‑Qal‑ConsecImperf‑3mp,H7235,Exodus,1,38,27
וַיַּֽעַצְמ֖וּ,H6105,way·ya·‘aṣ·mū,and grew,Conj‑w | V‑Qal‑ConsecImperf‑3mp,H6105,Exodus,1,39,27
בִּמְאֹ֣ד,H3966,bim·’ōḏ,exceedingly,Prep‑b | Adv,H3966,Exodus,1,40,27
מְאֹ֑ד,H3966,mə·’ōḏ;,greatly,Adv,H3966,Exodus,1,41,27
