hebrew_word,lemma,transliteration,english_translation,parsing_abbreviation,strongs_number,book,chapter,ordinal,reading_order_position
וַֽיִּשְׁרְצ֛וּ,H8317,way·yiš·rə·ṣū,and increased abundantly,Conj‑w | V‑Qal‑ConsecImperf‑3mp,H8317,Exodus,1,37,27
בְּסִבְלֹתָ֑ם,H5450,bə·siḇ·lō·ṯām;,with their burdens,Prep‑b | N‑fpc | 3mp,H5450,Exodus,1,84,27
פִּתֹ֖ם,H6619,pi·ṯōm,Pithom,N‑proper‑fs,H6619,Exodus,1,90,27
רַעַמְסֵֽס׃,H7486,ra·‘am·sês.,Raamses,N‑proper‑fs,H7486,Exodus,1,92,27
בְּפָֽרֶךְ׃,H6531,bə·p̄ā·reḵ.,with rigor,Prep‑b | N‑ms,H6531,Exodus,1,107,27
שִׁפְרָ֔ה,H8236,"šip̄·rāh,",[was] Shiphrah,N‑proper‑fs,H8236,Exodus,1,130,27
פּוּעָֽה׃,H6326,pū·‘āh.,Puah,N‑proper‑fs,H6326,Exodus,1,133,27
חָי֣וֹת,H2422,ḥā·yō·wṯ,[are] lively,Adj‑fp,H2422,Exodus,1,182,27
הַיִּלּ֗וֹד,H3209,"hay·yil·lō·wḏ,",who is born,Art | Adj‑ms,H3209,Exodus,1,208,27
תֵּ֣בַת,H8392,tê·ḇaṯ,an ark,N‑fsc,H8392,Exodus,2,236,27
בַחֵמָ֖ר,H2564,ḇa·ḥê·mār,with asphalt,"Prep‑b, Art | N‑ms",H2564,Exodus,2,239,27
וַתְּנִיקֵֽהוּ׃,H5134,wat·tə·nî·qê·hū.,and nursed him,Conj‑w | V‑Hifil‑ConsecImperf‑3fs | 3ms,H5134,Exodus,2,321,27
רְעוּאֵ֖ל,H7467,rə·‘ū·’êl,Reuel,N‑proper‑ms,H7467,Exodus,2,432,27
צִפֹּרָ֥ה,H6855,ṣip·pō·rāh,Zipporah,N‑proper‑fs,H6855,Exodus,2,467,27
גֵּרְשֹׁ֑ם,H1647,gê·rə·šōm;,Gershom,N‑proper‑ms,H1647,Exodus,2,474,27
נַאֲקָתָ֑ם,H5009,na·’ă·qā·ṯām;,their groaning,N‑fsc | 3mp,H5009,Exodus,2,501,27
יִתְר֥וֹ,H3503,yiṯ·rōw,of Jethro,N‑proper‑ms,H3503,Exodus,3,522,27
בְּלַבַּת־,H3827,bə·lab·baṯ-,in a flame,Prep‑b | N‑fsc,H3827,Exodus,3,539,27
פִקֵּ֖חַ,H6493,p̄iq·qê·aḥ,the seeing,Adj‑ms,H6493,Exodus,4,1042,27
צֹ֗ר,H6864,"ṣōr,",a sharp stone,N‑ms,H6864,Exodus,4,1220,27
לַמּוּלֹֽת׃,H4139,lam·mū·lōṯ.,because of the circumcision,"Prep‑l, Art | N‑fp",H4139,Exodus,4,1237,27
וְתֹ֥כֶן,H8506,wə·ṯō·ḵen,and yet the quota,Conj‑w | N‑msc,H8506,Exodus,5,1520,27
מִקֹּ֣צֶר,H7115,miq·qō·ṣer,because of anguish,Prep‑m | N‑msc,H7115,Exodus,6,1706,27
חֲנ֤וֹךְ,H2585,ḥă·nō·wḵ,Hanoch,N‑proper‑ms,H2585,Exodus,6,1766,27
וּפַלּוּא֙,H6396,ū·p̄al·lū,and Pallu,Conj‑w | N‑proper‑ms,H6396,Exodus,6,1767,27
וְכַרְמִ֔י,H3756,"wə·ḵar·mî,",and Carmi,Conj‑w | N‑proper‑ms,H3756,Exodus,6,1769,27
יְמוּאֵ֨ל,H3223,yə·mū·’êl,Jemuel,N‑proper‑ms,H3223,Exodus,6,1774,27
וְיָמִ֤ין,H3226,wə·yā·mîn,and Jamin,Conj‑w | N‑proper‑ms,H3226,Exodus,6,1775,27
וְאֹ֙הַד֙,H161,wə·’ō·haḏ,and Ohad,Conj‑w | N‑proper‑ms,H161,Exodus,6,1776,27
וְצֹ֔חַר,H6714,"wə·ṣō·ḥar,",and Zohar,Conj‑w | N‑proper‑ms,H6714,Exodus,6,1778,27
גֵּרְשׁ֕וֹן,H1648,gê·rə·šō·wn,Gershon,N‑proper‑ms,H1648,Exodus,6,1789,27
וּקְהָ֖ת,H6955,ū·qə·hāṯ,and Kohath,Conj‑w | N‑proper‑ms,H6955,Exodus,6,1790,27
לִבְנִ֥י,H3845,liḇ·nî,Libni,N‑proper‑ms,H3845,Exodus,6,1800,27
עַמְרָ֣ם,H6019,‘am·rām,Amram,N‑proper‑ms,H6019,Exodus,6,1804,27
וְיִצְהָ֔ר,H3324,"wə·yiṣ·hār,",and Izhar,Conj‑w | N‑proper‑ms,H3324,Exodus,6,1805,27
