hebrew_word,lemma,transliteration,english_translation,parsing_abbreviation,strongs_number,book,chapter,ordinal,reading_order_position
קָרְבָּ֖ן,H7133,qār·bān,an offering,N‑ms,H7133,Leviticus,1,18,28
הַפָּ֑דֶר,H6309,hap·pā·ḏer;,the fat,Art | N‑ms,H6309,Leviticus,1,96,28
וּמָלַק֙,H4454,ū·mā·laq,and wring off,Conj‑w | V‑Qal‑ConjPerf‑3ms,H4454,Leviticus,1,195,28
מֻרְאָת֖וֹ,H4760,mur·’ā·ṯōw,its crop,N‑fsc | 3ms,H4760,Leviticus,1,206,28
וְקָמַ֨ץ,H7061,wə·qā·maṣ,and one of whom shall take,Conj‑w | V‑Qal‑ConjPerf‑3ms,H7061,Leviticus,2,253,28
קֻמְצ֗וֹ,H7062,"qum·ṣōw,",his handful,N‑msc | 3ms,H7062,Leviticus,2,256,28
אַזְכָּרָתָהּ֙,H234,’az·kā·rā·ṯāh,[as] a memorial,N‑fsc | 3fs,H234,Leviticus,2,265,28
מַאֲפֵ֣ה,H3989,ma·’ă·p̄êh,baked in,N‑msc,H3989,Leviticus,2,282,28
הַֽמַּחֲבַ֖ת,H4227,ham·ma·ḥă·ḇaṯ,a pan,Art | N‑fs,H4227,Leviticus,2,295,28
מַרְחֶ֖שֶׁת,H4802,mar·ḥe·šeṯ,a covered pan,N‑fs,H4802,Leviticus,2,310,28
גֶּ֣רֶשׂ,H1643,ge·reś,grain beaten,N‑msc,H1643,Leviticus,2,396,28
הֶעָצֶ֖ה,H6096,he·‘ā·ṣeh,the backbone,Art | N‑ms,H6096,Leviticus,3,545,28
שֶׁ֣פֶךְ,H8211,še·p̄eḵ,are poured out,N‑msc,H8211,Leviticus,4,820,28
שְׂעִירַ֤ת,H8166,śə·‘î·raṯ,a kid,N‑fsc,H8166,Leviticus,4,1041,28
כִּשְׂבָּ֛ה,H3776,kiś·bāh,a lamb,N‑fs,H3776,Leviticus,5,1243,28
בְּפִקָּד֗וֹן,H6487,"bə·p̄iq·qā·ḏō·wn,",about what was delivered to him for safekeeping,Prep‑b | N‑ms,H6487,Leviticus,6,1462,28
בִתְשׂ֤וּמֶת,H8667,ḇiṯ·śū·meṯ,about,Prep‑b | N‑fsc,H8667,Leviticus,6,1464,28
מוֹקְדָ֨ה,H4169,mō·wq·ḏāh,the hearth,N‑fs,H4169,Leviticus,6,1563,28
מֻרְבֶּ֣כֶת,H7246,mur·be·ḵeṯ,[When it is] mixed,V‑Hofal‑Prtcpl‑fs,H7246,Leviticus,6,1721,28
תֻּפִינֵי֙,H8601,tu·p̄î·nê,the baked,N‑mpc,H8601,Leviticus,6,1723,28
תִפְרֹ֙מוּ֙,H6533,ṯip̄·rō·mū,tear,V‑Qal‑Imperf‑2mp,H6533,Leviticus,10,3165,28
הַ֨דָּאָ֔ה,H1676,"had·dā·’āh,",the kite,Art | N‑fs,H1676,Leviticus,11,3532,28
הַסָּלְעָ֖ם,H5556,has·sā·lə·‘ām,the destroying locust,Art | N‑ms,H5556,Leviticus,11,3597,28
הַחַרְגֹּ֣ל,H2728,ha·ḥar·gōl,the cricket,Art | N‑ms,H2728,Leviticus,11,3600,28
הַחֹ֥לֶד,H2467,ha·ḥō·leḏ,the mole,Art | N‑ms,H2467,Leviticus,11,3672,28
וְהַלְּטָאָ֑ה,H3911,wə·hal·lə·ṭā·’āh;,and the sand reptile,"Conj‑w, Art | N‑fs",H3911,Leviticus,11,3677,28
וְהַחֹ֖מֶט,H2546,wə·ha·ḥō·meṭ,and the sand lizard,"Conj‑w, Art | N‑ms",H2546,Leviticus,11,3678,28
וְכִירַ֛יִם,H3600,wə·ḵî·ra·yim,or cooking stove,Conj‑w | N‑md,H3600,Leviticus,11,3749,28
גָּח֜וֹ‪‬ן,H1512,gā·ḥō·wn,its belly,N‑ms,H1512,Leviticus,11,3818,28
דְּוֺתָ֖הּ,H1738,də·wō·ṯāh,her impurity,V‑Qal‑Inf | 3fs,H1738,Leviticus,12,3920,28
סַפַּ֙חַת֙,H5597,sap·pa·ḥaṯ,a scab,N‑fs,H5597,Leviticus,13,4023,28
בַהֶ֔רֶת,H934,"ḇa·he·reṯ,",a bright spot,N‑fs,H934,Leviticus,13,4025,28
פָשָׂ֥ה,H6581,p̄ā·śāh,has spread,V‑Qal‑Perf‑3ms,H6581,Leviticus,13,4089,28
מִסְפַּ֣חַת,H4556,mis·pa·ḥaṯ,[is only] a scab,N‑fs,H4556,Leviticus,13,4111,28
אֲדַמְדָּ֑מֶת,H125,’ă·ḏam·dā·meṯ;,reddish,Adj‑fs,H125,Leviticus,13,4248,28
מִכְוַת־,H4348,miḵ·waṯ-,a burn,N‑fsc,H4348,Leviticus,13,4306,28
צָהֹ֖ב,H6669,ṣā·hōḇ,yellow,Adj‑ms,H6669,Leviticus,13,4401,28
נֶ֣תֶק,H5424,ne·ṯeq,a scaly,N‑ms,H5424,Leviticus,13,4406,28
