hebrew_word,lemma,transliteration,english_translation,parsing_abbreviation,strongs_number,book,chapter,ordinal,reading_order_position
הַשָּׁבָ֑ץ,H7661,haš·šā·ḇāṣ;,anguish,Art | N‑ms,H7661,2 Samuel,1,114,29
וְאֶצְעָדָה֙,H685,wə·’eṣ·‘ā·ḏāh,and the bracelet,Conj‑w | N‑fs,H685,2 Samuel,1,133,29
נָשׂ֖וֹג,H7734,nā·śō·wḡ,turn,V‑Nifal‑Perf‑3ms,H7734,2 Samuel,1,276,29
בֹּ֙שֶׁת֙,H378,bō·šeṯ,Ishbosheth,N‑proper‑ms,H378,2 Samuel,2,449,29
הָאֲשׁוּרִ֖י,H805,hā·’ă·šū·rî,the Ashurites,Art | N‑proper‑ms,H805,2 Samuel,2,457,29
הַצֻּרִ֖ים,H2521,haṣ·ṣu·rîm,the Field of Swords,N‑proper‑fs,H2521,2 Samuel,2,560,29
חֲלִצָת֑וֹ,H2488,ḥă·li·ṣā·ṯōw;,his armor,N‑fsc | 3ms,H2488,2 Samuel,2,622,29
הַחֹ֗מֶשׁ,H2570,"ha·ḥō·meš,",the stomach,Art | N‑ms,H2570,2 Samuel,2,650,29
אַמָּ֔ה,H522,"’am·māh,",of Ammah,N‑proper‑fs,H522,2 Samuel,2,679,29
גִ֔יחַ,H1520,"ḡî·aḥ,",Giah,N‑proper‑fs,H1520,2 Samuel,2,683,29
הַבִּתְר֔וֹן,H1338,"hab·biṯ·rō·wn,",Bithron,Art | N‑proper‑fs,H1338,2 Samuel,2,759,29
אַמְנ֔וֹן,H550,"’am·nō·wn,",Amnon,N‑proper‑ms,H550,2 Samuel,3,822,29
כִלְאָ֔ב,H3609,"ḵil·’āḇ,",Chileab,N‑proper‑ms,H3609,2 Samuel,3,825,29
תַּלְמַ֖י,H8526,tal·may,of Talmai,N‑proper‑ms,H8526,2 Samuel,3,835,29
גְּשֽׁוּר׃,H1650,gə·šūr.,of Geshur,N‑proper‑fs,H1650,2 Samuel,3,837,29
אֲבִיטָֽל׃,H37,’ă·ḇî·ṭāl.,of Abital,N‑proper‑fs,H37,2 Samuel,3,844,29
יִתְרְעָ֔ם,H3507,"yiṯ·rə·‘ām,",Ithream,N‑proper‑ms,H3507,2 Samuel,3,845,29
לְעֶגְלָ֖ה,H5698,lə·‘eḡ·lāh,by Eglah,Prep‑l | N‑proper‑fs,H5698,2 Samuel,3,846,29
רִצְפָּ֣ה,H7532,riṣ·pāh,Rizpah,N‑proper‑fs,H7532,2 Samuel,3,868,29
אַיָּ֑ה,H345,’ay·yāh;,of Aiah,N‑proper‑ms,H345,2 Samuel,3,870,29
פַּלְטִיאֵ֥ל,H6409,pal·ṭî·’êl,Paltiel,N‑proper‑ms,H6409,2 Samuel,3,1015,29
הַסִּרָ֑ה,H5626,has·si·rāh;,of Sirah,N‑proper,H5626,2 Samuel,3,1205,29
בַּשֶּׁ֑לִי,H7987,baš·še·lî;,privately,"Prep‑b, Art | N‑ms",H7987,2 Samuel,3,1218,29
בַּֽעֲנָ֜ה,H1196,ba·‘ă·nāh,Baanah,N‑proper‑ms,H1196,2 Samuel,4,1429,29
הַבְּאֶֽרֹתִ֖י,H886,hab·bə·’e·rō·ṯî,the Beerothite,Art | N‑proper‑ms,H886,2 Samuel,4,1435,29
בְּאֵר֔וֹת,H881,"bə·’ê·rō·wṯ,",Beeroth,N‑proper‑fs,H881,2 Samuel,4,1440,29
גִּתָּ֑יְמָה,H1664,git·tā·yə·māh;,to Gittaim,N‑proper‑fs | 3fs,H1664,2 Samuel,4,1445,29
מְפִיבֹֽשֶׁת׃,H4648,mə·p̄î·ḇō·šeṯ.,Mephibosheth,N‑proper‑ms,H4648,2 Samuel,4,1475,29
שַׁמּ֣וּעַ,H8051,šam·mū·a‘,Shammua,N‑proper‑ms,H8051,2 Samuel,5,1824,29
וְשׁוֹבָ֔ב,H7727,"wə·šō·w·ḇāḇ,",and Shobab,Conj‑w | N‑proper‑ms,H7727,2 Samuel,5,1825,29
וֶאֱלִישׁ֖וּעַ,H474,we·’ĕ·lî·šū·a‘,and Elishua,Conj‑w | N‑proper‑ms,H474,2 Samuel,5,1828,29
וְיָפִֽיעַ׃,H3309,wə·yā·p̄î·a‘.,and Japhia,Conj‑w | N‑proper‑ms,H3309,2 Samuel,5,1830,29
וֶאֱלִיפָֽלֶט׃,H467,we·’ĕ·lî·p̄ā·leṭ.,and Eliphelet,Conj‑w | N‑proper‑ms,H467,2 Samuel,5,1832,29
פְּרָצִים֮,H1188,pə·rā·ṣîm,Baal Perazim,Prep | N‑proper‑fs,H1188,2 Samuel,5,1876,29
בְּכָאִֽים׃,H1057,bə·ḵā·’îm.,of the balsam trees,N‑mp,H1057,2 Samuel,5,1917,29
יְהוּדָ֑ה,H1184,yə·hū·ḏāh;,Baale Judah,Prep | N‑proper‑fs,H1184,2 Samuel,6,1960,29
וְאַחְי֗וֹ,H283,"wə·’aḥ·yōw,",and Ahio,Conj‑w | N‑proper‑ms,H283,2 Samuel,6,1987,29
וּבִמְנַֽעַנְעִ֖ים,H4517,ū·ḇim·na·‘an·‘îm,and on sistrums,"Conj‑w, Prep‑b | N‑mp",H4517,2 Samuel,6,2017,29
נָכ֑וֹן,H5225,nā·ḵō·wn;,Nachon's threshing floor,N‑proper‑fs,H5225,2 Samuel,6,2021,29
הַשַּׁ֑ל,H7944,haš·šal;,[his] error,Art | N‑ms,H7944,2 Samuel,6,2038,29
עֻזָּ֔ה,H6560,"‘uz·zāh,",Perez Uzzah,N‑proper‑fs,H6560,2 Samuel,6,2054,29
הַגִּתִּֽי׃,H1663,hag·git·tî.,the Gittite,Art | N‑proper‑ms,H1663,2 Samuel,6,2083,29
מְכַרְכֵּ֥ר,H3769,mə·ḵar·kêr,danced,V‑Piel‑Prtcpl‑ms,H3769,2 Samuel,6,2133,29
מְפַזֵּ֤ז,H6339,mə·p̄az·zêz,leaping,V‑Piel‑Prtcpl‑ms,H6339,2 Samuel,6,2167,29
וְאֶשְׁפָּ֣ר,H829,wə·’eš·pār,and piece [of meat],Conj‑w | N‑ms,H829,2 Samuel,6,2212,29
