hebrew_word,lemma,transliteration,english_translation,parsing_abbreviation,strongs_number,book,chapter,ordinal,reading_order_position
אַחֲרֵי֙,H310,’a·ḥă·rê,after,Prep,H310,Judges,1,1,30
מ֣וֹת,H4194,mō·wṯ,the death,N‑msc,H4194,Judges,1,2,30
יְהוֹשֻׁ֔עַ,H3091,"yə·hō·wō·šu·a‘,",of Joshua,N‑proper‑ms,H3091,Judges,1,3,30
וַֽיִּשְׁאֲלוּ֙,H7592,way·yiš·’ă·lū,that asked,Conj‑w | V‑Qal‑ConsecImperf‑3mp,H7592,Judges,1,4,30
בְּנֵ֣י,H1121,bə·nê,the sons,N‑mpc,H1121,Judges,1,5,30
יִשְׂרָאֵ֔ל,H3478,"yiś·rā·’êl,",of Israel,N‑proper‑ms,H3478,Judges,1,6,30
בַּיהוָ֖ה,H3068,Yah·weh,Yahweh,Prep‑b | N‑proper‑ms,H3068,Judges,1,7,30
לֵאמֹ֑ר,H559,lê·mōr;,saying,Prep‑l | V‑Qal‑Inf,H559,Judges,1,8,30
מִ֣י,H4310,mî,who,Interrog,H4310,Judges,1,9,30
יַעֲלֶה־,H5927,ya·‘ă·leh-,shall go up,V‑Qal‑Imperf‑3ms,H5927,Judges,1,10,30
אֶל־,H413,’el-,against,Prep,H413,Judges,1,11,30
הַֽכְּנַעֲנִ֛י,H3669,hak·kə·na·‘ă·nî,the Canaanite,Art | N‑proper‑ms,H3669,Judges,1,12,30
בַּתְּחִלָּ֖ה,H8462,bat·tə·ḥil·lāh,first,"Prep‑b, Art | N‑fs",H8462,Judges,1,13,30
לְהִלָּ֥חֶם,H3898,lə·hil·lā·ḥem,to fight,Prep‑l | V‑Nifal‑Inf,H3898,Judges,1,14,30
יְהוָ֖ה,H3068,Yah·weh,Yahweh,N‑proper‑ms,H3068,Judges,1,15,30
יְהוּדָ֣ה,H3063,yə·hū·ḏāh,Judah,N‑proper‑ms,H3063,Judges,1,16,30
יַעֲלֶ֑ה,H5927,ya·‘ă·leh;,shall go up,V‑Qal‑Imperf‑3ms,H5927,Judges,1,17,30
הִנֵּ֛ה,H2009,hin·nêh,indeed,Interjection,H2009,Judges,1,18,30
נָתַ֥תִּי,H5414,nā·ṯat·tî,I have delivered,V‑Qal‑Perf‑1cs,H5414,Judges,1,19,30
אֶת־,H853,’eṯ-,-,DirObjM,H853,Judges,1,20,30
הָאָ֖רֶץ,H776,hā·’ā·reṣ,the land,Art | N‑fs,H776,Judges,1,21,30
בְּיָדֽוֹ׃,H3027,bə·yā·ḏōw.,into his hand,Prep‑b | N‑fsc | 3ms,H3027,Judges,1,22,30
יְהוּדָה֩,H3063,yə·hū·ḏāh,Judah,N‑proper‑ms,H3063,Judges,1,23,30
לְשִׁמְע֨וֹן,H8095,lə·šim·‘ō·wn,to Simeon,Prep‑l | N‑proper‑ms,H8095,Judges,1,24,30
אָחִ֜יו,H251,’ā·ḥîw,his brother,N‑msc | 3ms,H251,Judges,1,25,30
עֲלֵ֧ה,H5927,‘ă·lêh,come up,V‑Qal‑Imp‑ms,H5927,Judges,1,26,30
אִתִּ֣י,H854,’it·tî,with me,Prep | 1cs,H854,Judges,1,27,30
בְגוֹרָלִ֗י,H1486,"ḇə·ḡō·w·rā·lî,",to my allotted territory,Prep‑b | N‑msc | 1cs,H1486,Judges,1,28,30
וְנִֽלָּחֲמָה֙,H3898,wə·nil·lā·ḥă·māh,that we may fight,Conj‑w | V‑Nifal‑ConjImperf.Cohort‑1cp,H3898,Judges,1,29,30
בַּֽכְּנַעֲנִ֔י,H3669,"bak·kə·na·‘ă·nî,",against the Canaanite,"Prep‑b, Art | N‑proper‑ms",H3669,Judges,1,30,30
וְהָלַכְתִּ֧י,H1980,wə·hā·laḵ·tî,and will go,Conj‑w | V‑Qal‑ConjPerf‑1cs,H1980,Judges,1,31,30
גַם־,H1571,ḡam-,likewise,Conj,H1571,Judges,1,32,30
אֲנִ֛י,H589,’ă·nî,I,Pro‑1cs,H589,Judges,1,33,30
אִתְּךָ֖,H854,’it·tə·ḵā,with you,Prep | 2ms,H854,Judges,1,34,30
בְּגוֹרָלֶ֑ךָ,H1486,bə·ḡō·w·rā·le·ḵā;,to your allotted territory,Prep‑b | N‑msc | 2ms,H1486,Judges,1,35,30
וַיֵּ֥לֶךְ,H1980,way·yê·leḵ,And went,Conj‑w | V‑Qal‑ConsecImperf‑3ms,H1980,Judges,1,36,30
אִתּ֖וֹ,H854,’it·tōw,with him,Prep | 3ms,H854,Judges,1,37,30
שִׁמְעֽוֹן׃,H8095,šim·‘ō·wn.,Simeon,N‑proper‑ms,H8095,Judges,1,38,30
יְהוּדָ֔ה,H3063,"yə·hū·ḏāh,",Judah,N‑proper‑ms,H3063,Judges,1,39,30
וַיִּתֵּ֧ן,H5414,way·yit·tên,and delivered,Conj‑w | V‑Qal‑ConsecImperf‑3ms,H5414,Judges,1,40,30
יְהוָ֛ה,H3068,Yah·weh,Yahweh,N‑proper‑ms,H3068,Judges,1,41,30
אֶת־,H853,’eṯ-,-,DirObjM,H853,Judges,1,42,30
