hebrew_word,lemma,transliteration,english_translation,parsing_abbreviation,strongs_number,book,chapter,ordinal,reading_order_position
כְּבָ֑ר,H3529,kə·ḇār;,Chebar,N‑proper‑fs,H3529,Ezekiel,1,11,31
יוֹיָכִֽין׃,H3112,yō·w·yā·ḵîn.,of Jehoiachin,N‑proper‑ms,H3112,Ezekiel,1,23,31
יְחֶזְקֵ֨אל,H3168,yə·ḥez·qêl,Ezekiel,N‑proper‑ms,H3168,Ezekiel,1,28,31
בּוּזִ֧י,H941,bū·zî,of Buzi,N‑proper‑ms,H941,Ezekiel,1,30,31
הַחַשְׁמַ֖ל,H2830,ha·ḥaš·mal,of amber,Art | N‑ms,H2830,Ezekiel,1,56,31
וְנֹ֣צְצִ֔ים,H5340,"wə·nō·ṣə·ṣîm,",and they sparkled,Conj‑w | V‑Qal‑Prtcpl‑mp,H5340,Ezekiel,1,79,31
קָלָֽל׃,H7044,qā·lāl.,burnished,Adj‑ms,H7044,Ezekiel,1,82,31
רָצ֣וֹא,H7519,rā·ṣō·w,ran back,V‑Qal‑InfAbs,H7519,Ezekiel,1,162,31
הַבָּזָֽק׃,H965,hab·bā·zāq.,a [flash] of lightning,Art | N‑ms,H965,Ezekiel,1,165,31
סָרָבִ֤ים,H5621,sā·rā·ḇîm,briers,N‑mp,H5621,Ezekiel,2,428,31
וְסַלּוֹנִים֙,H5544,wə·sal·lō·w·nîm,and thorns [are],Conj‑w | N‑mp,H5544,Ezekiel,2,429,31
וָהִֽי׃,H1958,wā·hî.,and woe,Conj‑w | N‑ms,H1958,Ezekiel,2,493,31
אָ֠בִיב,H8512,’ā·ḇîḇ,at Tel Abib,N‑proper‑fs,H8512,Ezekiel,3,685,31
וְדֹ֣חַן,H1764,wə·ḏō·ḥan,and millet,Conj‑w | N‑ms,H1764,Ezekiel,4,999,31
בְּמִשְׁק֕וֹל,H4946,bə·miš·qō·wl,by weight,Prep‑b | N‑ms,H4946,Ezekiel,4,1022,31
תְּעֻגֶ֖נָה,H5746,tə·‘u·ḡe·nāh,bake,V‑Qal‑Imperf‑2ms | 3fse,H5746,Ezekiel,4,1044,31
(צְפִיעֵ֣י),H6832,ṣə·p̄î·‘ê,dung,N‑mpc,H6832,Ezekiel,4,1081,31
וּבְשִׁמָּמ֖וֹן,H8078,ū·ḇə·šim·mā·mō·wn,and with dread,"Conj‑w, Prep‑b | N‑ms",H8078,Ezekiel,4,1104,31
הַגַּלָּבִים֙,H1532,hag·gal·lā·ḇîm,of barber,Art | N‑mp,H1532,Ezekiel,5,1120,31
וּגְדוּפָה֙,H1422,ū·ḡə·ḏū·p̄āh,and a taunt,Conj‑w | N‑fs,H1422,Ezekiel,5,1326,31
תִּישָׁ֑מְנָה,H3456,tî·šā·mə·nāh;,shall be desolate,V‑Qal‑Imperf‑3fp,H3456,Ezekiel,6,1427,31
אָ֔ח,H253,"’āḥ,",Alas,Interjection,H253,Ezekiel,6,1496,31
דִּבְלָ֔תָה,H1689,"diḇ·lā·ṯāh,",toward Diblah,N‑proper‑fs | 3fs,H1689,Ezekiel,6,1560,31
הֵ֥ד,H1906,hêḏ,of rejoicing in,N‑ms,H1906,Ezekiel,7,1638,31
מֶהֱמֵהֶ֖ם,H1991,me·hĕ·mê·hem,of them,Prep‑m | Adv | 3mp,H1991,Ezekiel,7,1685,31
נֹ֥הַּ,H5089,nō·ah,[shall there be] wailing,N‑ms,H5089,Ezekiel,7,1687,31
בַתָּק֙וֹעַ֙,H8619,ḇat·tā·qō·w·a‘,the trumpet,"Prep‑b, Art | N‑ms",H8619,Ezekiel,7,1722,31
הָֽרַתּ֑וֹק,H7569,hā·rat·tō·wq;,a chain,Art | N‑ms,H7569,Ezekiel,7,1822,31
זֹ֖הַר,H2096,zō·har,of brightness,N‑ms,H2096,Ezekiel,8,1906,31
בְּצִיצִ֣ת,H6734,bə·ṣî·ṣiṯ,by a lock,Prep‑b | N‑fsc,H6734,Ezekiel,8,1912,31
בַּבִּאָֽה׃,H872,bab·bi·’āh.,in the entrance,"Prep‑b, Art | N‑fs",H872,Ezekiel,8,1965,31
הַתַּמּֽוּז׃,H8542,hat·tam·mūz.,Tammuz,Art | N‑proper‑ms,H8542,Ezekiel,8,2099,31
מַשְׁחֵת֖וֹ,H4892,maš·ḥê·ṯōw,deadly,N‑msc | 3ms,H4892,Ezekiel,9,2187,31
מַפָּצוֹ֙,H4660,map·pā·ṣōw,with his battle-ax,N‑msc | 3ms,H4660,Ezekiel,9,2200,31
וְקֶ֥סֶת,H7083,wə·qe·seṯ,and inkhorn,Conj‑w | N‑fsc,H7083,Ezekiel,9,2207,31
מֻטֶּ֑ה,H4297,muṭ·ṭeh;,of perversity,N‑ms,H4297,Ezekiel,9,2334,31
פְּלַטְיָ֥הוּ,H6410,pə·laṭ·yā·hū,Pelatiah,N‑proper‑ms,H6410,Ezekiel,11,2675,31
בָּעֲלָטָ֣ה,H5939,bā·‘ă·lā·ṭāh,at twilight,"Prep‑b, Art | N‑fs",H5939,Ezekiel,12,3024,31
אֲגַפָּ֖יו,H102,’ă·ḡap·pāw,his troops,N‑mpc | 3ms,H102,Ezekiel,12,3134,31
בְּרָגְזָ֥ה,H7269,bə·rā·ḡə·zāh,with trembling,Prep‑b | N‑fs,H7269,Ezekiel,12,3178,31
וּמִקְסַ֣ם,H4738,ū·miq·sam,or divination,Conj‑w | N‑msc,H4738,Ezekiel,12,3262,31
מַֽחֲזֵה־,H4236,ma·ḥă·zêh-,a vision,N‑msc,H4236,Ezekiel,13,3381,31
הִטְע֧וּ,H2937,hiṭ·‘ū,they have seduced,V‑Hifil‑Perf‑3cp,H2937,Ezekiel,13,3435,31
חַ֔יִץ,H2434,"ḥa·yiṣ,",a wall,N‑ms,H2434,Ezekiel,13,3444,31
אֶלְגָּבִישׁ֙,H417,’el·gā·ḇîš,[great] hail-,N‑ms,H417,Ezekiel,13,3458,31
