hebrew_word,lemma,transliteration,english_translation,parsing_abbreviation,strongs_number,book,chapter,ordinal,reading_order_position
בִּשְׁלֹשִׁ֣ים,H7970,biš·lō·šîm,In the thirtieth,Prep‑b | Number‑cp,H7970,Ezekiel,1,1,31
שָׁנָ֗ה,H8141,"šā·nāh,",year,N‑fs,H8141,Ezekiel,1,2,31
בָּֽרְבִיעִי֙,H7243,bā·rə·ḇî·‘î,in the fourth [month],"Prep‑b, Art | Number‑oms",H7243,Ezekiel,1,3,31
בַּחֲמִשָּׁ֣ה,H2568,ba·ḥă·miš·šāh,on [day] five,"Prep‑b, Art | Number‑ms",H2568,Ezekiel,1,4,31
לַחֹ֔דֶשׁ,H2320,"la·ḥō·ḏeš,",of the month,"Prep‑l, Art | N‑ms",H2320,Ezekiel,1,5,31
וַאֲנִ֥י,H589,wa·’ă·nî,and as I [was],Conj‑w | Pro‑1cs,H589,Ezekiel,1,6,31
בְתֽוֹךְ־,H8432,ḇə·ṯō·wḵ-,among,Prep‑b | N‑msc,H8432,Ezekiel,1,7,31
הַגּוֹלָ֖ה,H1473,hag·gō·w·lāh,the captives,Art | N‑fs,H1473,Ezekiel,1,8,31
עַל־,H5921,‘al-,by,Prep,H5921,Ezekiel,1,9,31
נְהַר־,H5104,nə·har-,the River,N‑msc,H5104,Ezekiel,1,10,31
כְּבָ֑ר,H3529,kə·ḇār;,Chebar,N‑proper‑fs,H3529,Ezekiel,1,11,31
נִפְתְּחוּ֙,H6605,nip̄·tə·ḥū,[that] were opened,V‑Nifal‑Perf‑3cp,H6605,Ezekiel,1,12,31
הַשָּׁמַ֔יִם,H8064,"haš·šā·ma·yim,",the heavens,Art | N‑mp,H8064,Ezekiel,1,13,31
וָאֶרְאֶ֖ה,H7200,wā·’er·’eh,and I saw,Conj‑w | V‑Qal‑ConsecImperf‑1cs,H7200,Ezekiel,1,14,31
מַרְא֥וֹת,H4759,mar·’ō·wṯ,visions,N‑fpc,H4759,Ezekiel,1,15,31
אֱלֹהִֽים׃,H430,’ĕ·lō·hîm.,of God,N‑mp,H430,Ezekiel,1,16,31
הִ֚יא,H1931,hî,that [was],Pro‑3fs,H1931,Ezekiel,1,18,31
הַחֲמִישִׁ֔ית,H2549,"ha·ḥă·mî·šîṯ,",fifth,Art | Number‑ofs,H2549,Ezekiel,1,20,31
לְגָל֖וּת,H1546,lə·ḡā·lūṯ,of captivity,Prep‑l | N‑fsc,H1546,Ezekiel,1,21,31
הַמֶּ֥לֶךְ,H4428,ham·me·leḵ,King,Art | N‑ms,H4428,Ezekiel,1,22,31
יוֹיָכִֽין׃,H3112,yō·w·yā·ḵîn.,of Jehoiachin,N‑proper‑ms,H3112,Ezekiel,1,23,31
הָיָ֣ה,H1961,hā·yāh,came,V‑Qal‑Perf‑3ms,H1961,Ezekiel,1,24,31
דְבַר־,H1697,ḏə·ḇar-,the word,N‑msc,H1697,Ezekiel,1,25,31
יְ֠הוָה,H3068,Yah·weh,of Yahweh,N‑proper‑ms,H3068,Ezekiel,1,26,31
אֶל־,H413,’el-,to,Prep,H413,Ezekiel,1,27,31
