hebrew_word,lemma,transliteration,english_translation,parsing_abbreviation,strongs_number,book,chapter,ordinal,reading_order_position
בִּימֵ֣י,H3117,bî·mê,in the days,Prep‑b | N‑mpc,H3117,Esther,1,1,32
אֲחַשְׁוֵר֑וֹשׁ,H325,’ă·ḥaš·wê·rō·wōš;,of Ahasuerus,N‑proper‑ms,H325,Esther,1,2,32
ה֣וּא,H1931,hū,he [was],Pro‑3ms,H1931,Esther,1,3,32
אֲחַשְׁוֵר֗וֹשׁ,H325,"’ă·ḥaš·wê·rō·wōš,",the Ahasuerus,N‑proper‑ms,H325,Esther,1,4,32
הַמֹּלֵךְ֙,H4427,ham·mō·lêḵ,who reigned over,Art | V‑Qal‑Prtcpl‑ms,H4427,Esther,1,5,32
מֵהֹ֣דּוּ,H1912,mê·hōd·dū,from India,Prep‑m | N‑proper‑fs,H1912,Esther,1,6,32
וְעַד־,H5704,wə·‘aḏ-,and to,Conj‑w | Prep,H5704,Esther,1,7,32
כּ֔וּשׁ,H3568,"kūš,",Ethiopia,N‑proper‑fs,H3568,Esther,1,8,32
שֶׁ֛בַע,H7651,še·ḇa‘,seven,Number‑fs,H7651,Esther,1,9,32
וְעֶשְׂרִ֥ים,H6242,wə·‘eś·rîm,and twenty,Conj‑w | Number‑cp,H6242,Esther,1,10,32
וּמֵאָ֖ה,H3967,ū·mê·’āh,and a hundred,Conj‑w | Number‑fs,H3967,Esther,1,11,32
מְדִינָֽה׃,H4082,mə·ḏî·nāh.,provinces,N‑fs,H4082,Esther,1,12,32
הָהֵ֑ם,H1992,hā·hêm;,those,Art | Pro‑3mp,H1992,Esther,1,13,32
כְּשֶׁ֣בֶת ׀,H7675,kə·še·ḇeṯ,when sat,Prep‑k | V‑Qal‑Inf,H7675,Esther,1,14,32
הַמֶּ֣לֶךְ,H4428,ham·me·leḵ,King,Art | N‑ms,H4428,Esther,1,15,32
אֲחַשְׁוֵר֗וֹשׁ,H325,"’ă·ḥaš·wê·rō·wōš,",Ahasuerus,N‑proper‑ms,H325,Esther,1,16,32
עַ֚ל,H5921,‘al,on,Prep,H5921,Esther,1,17,32
כִּסֵּ֣א,H3678,kis·sê,the throne,N‑msc,H3678,Esther,1,18,32
מַלְכוּת֔וֹ,H4438,"mal·ḵū·ṯōw,",of his kingdom,N‑fsc | 3ms,H4438,Esther,1,19,32
אֲשֶׁ֖ר,H834,’ă·šer,which,Pro‑r,H834,Esther,1,20,32
בְּשׁוּשַׁ֥ן,H7800,bə·šū·šan,[was] in Shushan,Prep‑b | N‑proper‑ms,H7800,Esther,1,21,32
הַבִּירָֽה׃,H1002,hab·bî·rāh.,the citadel,Art | N‑fs,H1002,Esther,1,22,32
שָׁלוֹשׁ֙,H7969,šā·lō·wōš,three,Number‑fs,H7969,Esther,1,23,32
לְמָלְכ֔וֹ,H4427,"lə·mā·lə·ḵōw,",of his reign,Prep‑l | V‑Qal‑Inf | 3ms,H4427,Esther,1,24,32
עָשָׂ֣ה,H6213,‘ā·śāh,he made,V‑Qal‑Perf‑3ms,H6213,Esther,1,25,32
מִשְׁתֶּ֔ה,H4960,"miš·teh,",a feast,N‑ms,H4960,Esther,1,26,32
לְכָל־,H3605,lə·ḵāl,for all,Prep‑l | N‑msc,H3605,Esther,1,27,32
שָׂרָ֖יו,H8269,śā·rāw,his officials,N‑mpc | 3ms,H8269,Esther,1,28,32
וַעֲבָדָ֑יו,H5650,wa·‘ă·ḇā·ḏāw;,and servants,Conj‑w | N‑mpc | 3ms,H5650,Esther,1,29,32
חֵ֣יל ׀,H2426,ḥêl,the powers,N‑msc,H2426,Esther,1,30,32
פָּרַ֣ס,H6539,pā·ras,of Persia,N‑proper‑fs,H6539,Esther,1,31,32
וּמָדַ֗י,H4074,"ū·mā·ḏay,",and Media,Conj‑w | N‑proper‑fs,H4074,Esther,1,32,32
הַֽפַּרְתְּמִ֛ים,H6579,hap·par·tə·mîm,the nobles,Art | N‑mp,H6579,Esther,1,33,32
וְשָׂרֵ֥י,H8269,wə·śā·rê,and the princes,Conj‑w | N‑mpc,H8269,Esther,1,34,32
הַמְּדִינ֖וֹת,H4082,ham·mə·ḏî·nō·wṯ,of the provinces,Art | N‑fp,H4082,Esther,1,35,32
לְפָנָֽיו׃,H6440,lə·p̄ā·nāw.,[being] before him,Prep‑l | N‑cpc | 3ms,H6440,Esther,1,36,32
אֶת־,H853,’eṯ-,-,DirObjM,H853,Esther,1,37,32
עֹ֙שֶׁר֙,H6239,‘ō·šer,the riches,N‑msc,H6239,Esther,1,38,32
כְּב֣וֹד,H3519,kə·ḇō·wḏ,of his glorious,N‑msc,H3519,Esther,1,39,32
מַלְכוּת֔וֹ,H4438,"mal·ḵū·ṯōw,",kingdom,N‑fsc | 3ms,H4438,Esther,1,40,32
וְאֶ֨ת־,H853,wə·’eṯ-,and,Conj‑w | DirObjM,H853,Esther,1,41,32
יְקָ֔ר,H3366,"yə·qār,",the splendor,N‑msc,H3366,Esther,1,42,32
תִּפְאֶ֖רֶת,H8597,tip̄·’e·reṯ,of his excellent,N‑fsc,H8597,Esther,1,43,32
גְּדוּלָּת֑וֹ,H1420,gə·ḏūl·lā·ṯōw;,majesty,N‑fsc | 3ms,H1420,Esther,1,44,32
יָמִ֣ים,H3117,yā·mîm,days,N‑mp,H3117,Esther,1,45,32
רַבִּ֔ים,H7227,"rab·bîm,",for many,Adj‑mp,H7227,Esther,1,46,32
שְׁמוֹנִ֥ים,H8084,šə·mō·w·nîm,eighty,Number‑cp,H8084,Esther,1,47,32
וּמְאַ֖ת,H3967,ū·mə·’aṯ,and a hundred,Conj‑w | Number‑fsc,H3967,Esther,1,48,32
יֽוֹם׃,H3117,yō·wm.,days [in all],N‑ms,H3117,Esther,1,49,32
הַיָּמִ֣ים,H3117,hay·yā·mîm,days,Art | N‑mp,H3117,Esther,1,50,32
הָאֵ֗לֶּה,H428,"hā·’êl·leh,",these,Art | Pro‑cp,H428,Esther,1,51,32
עָשָׂ֣ה,H6213,‘ā·śāh,made,V‑Qal‑Perf‑3ms,H6213,Esther,1,52,32
הַמֶּ֡לֶךְ,H4428,ham·me·leḵ,the king,Art | N‑ms,H4428,Esther,1,53,32
לְכָל־,H3605,lə·ḵāl,for all,Prep‑l | N‑msc,H3605,Esther,1,54,32
הָעָ֣ם,H5971,hā·‘ām,the people,Art | N‑ms,H5971,Esther,1,55,32
הַנִּמְצְאִים֩,H4672,han·nim·ṣə·’îm,who were present,Art | V‑Nifal‑Prtcpl‑mp,H4672,Esther,1,56,32
בְּשׁוּשַׁ֨ן,H7800,bə·šū·šan,in Shushan,Prep‑b | N‑proper‑ms,H7800,Esther,1,57,32
הַבִּירָ֜ה,H1002,hab·bî·rāh,the citadel,Art | N‑fs,H1002,Esther,1,58,32
לְמִגָּ֧דוֹל,H1419,lə·mig·gā·ḏō·wl,from great,"Prep‑l, Prep‑m | Adj‑ms",H1419,Esther,1,59,32
וְעַד־,H5704,wə·‘aḏ-,and to,Conj‑w | Prep,H5704,Esther,1,60,32
קָטָ֛ן,H6996,qā·ṭān,small,Adj‑ms,H6996,Esther,1,61,32
מִשְׁתֶּ֖ה,H4960,miš·teh,a feast,N‑ms,H4960,Esther,1,62,32
שִׁבְעַ֣ת,H7651,šiḇ·‘aṯ,[lasting] seven,Number‑msc,H7651,Esther,1,63,32
יָמִ֑ים,H3117,yā·mîm;,days,N‑mp,H3117,Esther,1,64,32
בַּחֲצַ֕ר,H2691,ba·ḥă·ṣar,in the court,Prep‑b | N‑csc,H2691,Esther,1,65,32
גִּנַּ֥ת,H1594,gin·naṯ,of the garden,N‑fsc,H1594,Esther,1,66,32
בִּיתַ֖ן,H1055,bî·ṯan,of palace,N‑msc,H1055,Esther,1,67,32
הַמֶּֽלֶךְ׃,H4428,ham·me·leḵ.,of the king,Art | N‑ms,H4428,Esther,1,68,32
כַּרְפַּ֣ס,H3768,kar·pas,linen,N‑ms,H3768,Esther,1,69,32
וּתְכֵ֗לֶת,H8504,"ū·ṯə·ḵê·leṯ,",and blue linen [curtains],Conj‑w | N‑fs,H8504,Esther,1,70,32
אָחוּז֙,H270,’ā·ḥūz,fastened,V‑Qal‑QalPassPrtcpl‑ms,H270,Esther,1,71,32
בְּחַבְלֵי־,H2256,bə·ḥaḇ·lê-,with cords,Prep‑b | N‑mpc,H2256,Esther,1,72,32
ב֣וּץ,H948,ḇūṣ,of fine linen,N‑ms,H948,Esther,1,73,32
וְאַרְגָּמָ֔ן,H713,"wə·’ar·gā·mān,",and purple,Conj‑w | N‑ms,H713,Esther,1,74,32
עַל־,H5921,‘al-,on,Prep,H5921,Esther,1,75,32
גְּלִ֥ילֵי,H1550,gə·lî·lê,rods,N‑mpc,H1550,Esther,1,76,32
כֶ֖סֶף,H3701,ḵe·sep̄,silver,N‑ms,H3701,Esther,1,77,32
וְעַמּ֣וּדֵי,H5982,wə·‘am·mū·ḏê,and pillars,Conj‑w | N‑mpc,H5982,Esther,1,78,32
שֵׁ֑שׁ,H8336,šêš;,marble,N‑ms,H8336,Esther,1,79,32
מִטּ֣וֹת ׀,H4296,miṭ·ṭō·wṯ,[and the] couches,N‑fpc,H4296,Esther,1,80,32
