hebrew_word,lemma,transliteration,english_translation,parsing_abbreviation,strongs_number,book,chapter,ordinal,reading_order_position
אֱלִיצ֖וּר,H468,’ĕ·lî·ṣūr,Elizur,N‑proper‑ms,H468,Numbers,1,58,33
שְׁדֵיאֽוּר׃,H7707,šə·ḏê·’ūr.,of Shedeur,N‑proper‑ms,H7707,Numbers,1,60,33
שְׁלֻמִיאֵ֖ל,H8017,šə·lu·mî·’êl,Shelumiel,N‑proper‑ms,H8017,Numbers,1,61,33
צוּרִֽישַׁדָּֽי׃,H6701,ṣū·rî·šad·dāy.,of Zurishaddai,N‑proper‑ms,H6701,Numbers,1,63,33
צוּעָֽר׃,H6686,ṣū·‘ār.,of Zuar,N‑proper‑ms,H6686,Numbers,1,69,33
חֵלֹֽן׃,H2497,ḥê·lōn.,of Helon,N‑proper‑ms,H2497,Numbers,1,72,33
עַמִּיה֑וּד,H5989,‘am·mî·hūḏ;,of Ammihud,N‑proper‑ms,H5989,Numbers,1,77,33
גַּמְלִיאֵ֖ל,H1583,gam·lî·’êl,Gamaliel,N‑proper‑ms,H1583,Numbers,1,79,33
פְּדָהצֽוּר׃,H6301,pə·ḏā·h·ṣūr.,of Pedahzur,N‑proper‑ms,H6301,Numbers,1,81,33
אֲבִידָ֖ן,H27,’ă·ḇî·ḏān,Abidan,N‑proper‑ms,H27,Numbers,1,82,33
גִּדְעֹנִֽי׃,H1441,giḏ·‘ō·nî.,of Gideoni,N‑proper‑ms,H1441,Numbers,1,84,33
אֲחִיעֶ֖זֶר,H295,’ă·ḥî·‘e·zer,Ahiezer,N‑proper‑ms,H295,Numbers,1,85,33
עַמִּֽישַׁדָּֽי׃,H5996,‘am·mî·šad·dāy.,of Ammishaddai,N‑proper‑ms,H5996,Numbers,1,87,33
פַּגְעִיאֵ֖ל,H6295,paḡ·‘î·’êl,Pagiel,N‑proper‑ms,H6295,Numbers,1,88,33
עָכְרָֽן׃,H5918,‘ā·ḵə·rān.,of Ocran,N‑proper‑ms,H5918,Numbers,1,90,33
אֶלְיָסָ֖ף,H460,’el·yā·sāp̄,Eliasaph,N‑proper‑ms,H460,Numbers,1,91,33
דְּעוּאֵֽל׃,H1845,də·‘ū·’êl.,of Deuel,N‑proper‑ms,H1845,Numbers,1,93,33
אֲחִירַ֖ע,H299,’ă·ḥî·ra‘,Ahira,N‑proper‑ms,H299,Numbers,1,94,33
עֵינָֽן׃,H5881,‘ê·nān.,of Enan,N‑proper‑ms,H5881,Numbers,1,96,33
(קְרוּאֵ֣י),H7148,qə·rū·’ê,chosen from,V‑Qal‑QalPassPrtcpl‑mpc,H7148,Numbers,1,97,33
הַלִּבְנִ֔י,H3846,"hal·liḇ·nî,",of the Libnite,Art | N‑proper‑ms,H3846,Numbers,3,1041,33
לָאֵֽל׃,H3815,lā·’êl.,of Lael,N‑proper‑ms,H3815,Numbers,3,1069,33
הַֽעַמְרָמִי֙,H6020,ha·‘am·rā·mî,of the Amramite,Art | N‑proper‑ms,H6020,Numbers,3,1097,33
הַיִּצְהָרִ֔י,H3325,"hay·yiṣ·hā·rî,",of the Izharite,Art | N‑proper‑ms,H3325,Numbers,3,1099,33
הַֽחֶבְרֹנִ֔י,H2276,"ha·ḥeḇ·rō·nî,",of the Hebronite,Art | N‑proper‑ms,H2276,Numbers,3,1101,33
הָֽעָזִּיאֵלִ֑י,H5817,hā·‘āz·zî·’ê·lî;,of the Uzzielite,Art | N‑proper‑ms,H5817,Numbers,3,1103,33
הַמַּחְלִ֔י,H4250,"ham·maḥ·lî,",of the Mahlite,Art | N‑proper‑ms,H4250,Numbers,3,1156,33
הַמּוּשִׁ֑י,H4188,ham·mū·šî;,of the Mushite,Art | N‑proper‑ms,H4188,Numbers,3,1158,33
צוּרִיאֵ֖ל,H6700,ṣū·rî·’êl,[was] Zuriel,N‑proper‑ms,H6700,Numbers,3,1176,33
פְּדוּיֵ֣י,H6302,pə·ḏū·yê,for the redemption,N‑mpc,H6302,Numbers,3,1317,33
