hebrew_word,lemma,transliteration,english_translation,parsing_abbreviation,strongs_number,book,chapter,ordinal,reading_order_position
בָּרָ֣א,H1254,bā·rā,created,V‑Qal‑Perf‑3ms,H1254,Genesis,1,1,34
אֱלֹהִ֑ים,H430,’ĕ·lō·hîm;,God,N‑mp,H430,Genesis,1,2,34
אֵ֥ת,H853,’êṯ,-,DirObjM,H853,Genesis,1,3,34
הַשָּׁמַ֖יִם,H8064,haš·šā·ma·yim,the heavens,Art | N‑mp,H8064,Genesis,1,4,34
וְאֵ֥ת,H853,wə·’êṯ,and,Conj‑w | DirObjM,H853,Genesis,1,5,34
הָאָֽרֶץ׃,H776,hā·’ā·reṣ.,the earth,Art | N‑fs,H776,Genesis,1,6,34
הָיְתָ֥ה,H1961,hā·yə·ṯāh,was,V‑Qal‑Perf‑3fs,H1961,Genesis,1,7,34
תֹ֙הוּ֙,H8414,ṯō·hū,formless,N‑ms,H8414,Genesis,1,8,34
וָבֹ֔הוּ,H922,"wā·ḇō·hū,",and void,Conj‑w | N‑ms,H922,Genesis,1,9,34
וְחֹ֖שֶׁךְ,H2822,wə·ḥō·šeḵ,and darkness,Conj‑w | N‑ms,H2822,Genesis,1,10,34
עַל־,H5921,‘al-,[was] over,Prep,H5921,Genesis,1,11,34
פְּנֵ֣י,H6440,pə·nê,the face,N‑cpc,H6440,Genesis,1,12,34
תְה֑וֹם,H8415,ṯə·hō·wm;,of the deep,N‑cs,H8415,Genesis,1,13,34
וְר֣וּחַ,H7307,wə·rū·aḥ,And the Spirit,Conj‑w | N‑csc,H7307,Genesis,1,14,34
אֱלֹהִ֔ים,H430,"’ĕ·lō·hîm,",of God,N‑mp,H430,Genesis,1,15,34
מְרַחֶ֖פֶת,H7363,mə·ra·ḥe·p̄eṯ,was hovering,V‑Piel‑Prtcpl‑fs,H7363,Genesis,1,16,34
עַל־,H5921,‘al-,over,Prep,H5921,Genesis,1,17,34
פְּנֵ֥י,H6440,pə·nê,the face,N‑cpc,H6440,Genesis,1,18,34
הַמָּֽיִם׃,H4325,ham·mā·yim.,of the waters,Art | N‑mp,H4325,Genesis,1,19,34
אֱלֹהִ֖ים,H430,’ĕ·lō·hîm,God,N‑mp,H430,Genesis,1,20,34
יְהִ֣י,H1961,yə·hî,let there be,V‑Qal‑Imperf.Jus‑3ms,H1961,Genesis,1,21,34
א֑וֹר,H216,’ō·wr;,light,N‑cs,H216,Genesis,1,22,34
וַֽיְהִי־,H1961,way·hî-,and there was,Conj‑w | V‑Qal‑ConsecImperf‑3ms,H1961,Genesis,1,23,34
אֽוֹר׃,H216,’ō·wr.,light,N‑cs,H216,Genesis,1,24,34
אֱלֹהִ֛ים,H430,’ĕ·lō·hîm,God,N‑mp,H430,Genesis,1,25,34
אֶת־,H853,’eṯ-,-,DirObjM,H853,Genesis,1,26,34
הָא֖וֹר,H216,hā·’ō·wr,the light,Art | N‑cs,H216,Genesis,1,27,34
כִּי־,H3588,kî-,that,Conj,H3588,Genesis,1,28,34
ט֑וֹב,H2896,ṭō·wḇ;,[it was] good,Adj‑ms,H2896,Genesis,1,29,34
וַיַּבְדֵּ֣ל,H914,way·yaḇ·dêl,and divided,Conj‑w | V‑Hifil‑ConsecImperf‑3ms,H914,Genesis,1,30,34
אֱלֹהִ֔ים,H430,"’ĕ·lō·hîm,",God,N‑mp,H430,Genesis,1,31,34
בֵּ֥ין,H996,bên,between,Prep,H996,Genesis,1,32,34
הָא֖וֹר,H216,hā·’ō·wr,the light,Art | N‑cs,H216,Genesis,1,33,34
וּבֵ֥ין,H996,ū·ḇên,and between,Conj‑w | Prep,H996,Genesis,1,34,34
הַחֹֽשֶׁךְ׃,H2822,ha·ḥō·šeḵ.,the darkness,Art | N‑ms,H2822,Genesis,1,35,34
אֱלֹהִ֤ים ׀,H430,’ĕ·lō·hîm,God,N‑mp,H430,Genesis,1,36,34
לָאוֹר֙,H216,lā·’ō·wr,the light,"Prep‑l, Art | N‑cs",H216,Genesis,1,37,34
י֔וֹם,H3117,"yō·wm,",day,N‑ms,H3117,Genesis,1,38,34
וְלַחֹ֖שֶׁךְ,H2822,wə·la·ḥō·šeḵ,and the darkness,"Conj‑w, Prep‑l, Art | N‑ms",H2822,Genesis,1,39,34
קָ֣רָא,H7121,qā·rā,He called,V‑Qal‑Perf‑3ms,H7121,Genesis,1,40,34
