hebrew_word,lemma,transliteration,english_translation,parsing_abbreviation,strongs_number,book,chapter,ordinal,reading_order_position
חֲדַ֥ד,H2301,ḥă·ḏaḏ,Hadad,N‑proper‑ms,H2301,1 Chronicles,1,167,37
וְהוֹמָ֑ם,H1950,wə·hō·w·mām;,and Homam,Conj‑w | N‑proper‑ms,H1950,1 Chronicles,1,236,37
חַמְרָ֥ן,H2566,ḥam·rān,[were] Hamran,N‑proper‑ms,H2566,1 Chronicles,1,254,37
יַעֲקָ֑ן,H3292,ya·‘ă·qān;,[and] Jaakan,N‑proper‑md,H3292,1 Chronicles,1,261,37
שׁ֖וּעַ,H7774,šū·a‘,by Bathshua,Prep | N‑proper‑fs,H7774,1 Chronicles,2,386,37
וָדָ֖רַע,H1873,wā·ḏā·ra‘,and Dara,Conj‑w | N‑proper‑ms,H1873,1 Chronicles,2,414,37
עָכָר֙,H5917,‘ā·ḵār,[was] Achar,N‑proper‑ms,H5917,1 Chronicles,2,418,37
כְּלוּבָֽי׃,H3621,kə·lū·ḇāy.,Chelubai,N‑proper‑ms,H3621,1 Chronicles,2,434,37
שַׂלְמָ֔א,H8007,"śal·mā,",Salma,N‑proper‑ms,H8007,1 Chronicles,2,447,37
וְשִׁמְעָ֖א,H8092,wə·šim·‘ā,and Shimea,Conj‑w | N‑proper‑ms,H8092,1 Chronicles,2,466,37
רַדַּ֖י,H7288,rad·day,Raddai,N‑proper‑ms,H7288,1 Chronicles,2,469,37
יְרִיע֑וֹת,H3408,yə·rî·‘ō·wṯ;,Jerioth,N‑proper‑fs,H3408,1 Chronicles,2,497,37
יֵ֥שֶׁר,H3475,yê·šer,Jesher,N‑proper‑ms,H3475,1 Chronicles,2,500,37
וְאַרְדּֽוֹן׃,H715,wə·’ar·dō·wn.,and Ardon,Conj‑w | N‑proper‑ms,H715,1 Chronicles,2,502,37
אֶפְרָ֑תָה,H3613,’ep̄·rā·ṯāh;,Caleb Ephrathah,Prep | N‑proper‑fs,H3613,1 Chronicles,2,563,37
אַשְׁח֖וּר,H806,’aš·ḥūr,Ashhur,N‑proper‑ms,H806,1 Chronicles,2,569,37
וּבוּנָ֥ה,H946,ū·ḇū·nāh,and Bunah,Conj‑w | N‑proper‑ms,H946,1 Chronicles,2,578,37
וָאֹ֛רֶן,H767,wā·’ō·ren,and Oren,Conj‑w | N‑proper‑ms,H767,1 Chronicles,2,579,37
וָאֹ֖צֶם,H684,wā·’ō·ṣem,and Ozem,Conj‑w | N‑proper‑ms,H684,1 Chronicles,2,580,37
עֲטָרָ֑ה,H5851,‘ă·ṭā·rāh;,was Atarah,N‑proper‑fs,H5851,1 Chronicles,2,586,37
מַ֥עַץ,H4619,ma·‘aṣ,Maaz,N‑proper‑ms,H4619,1 Chronicles,2,594,37
וָעֵֽקֶר׃,H6134,wā·‘ê·qer.,and Eker,Conj‑w | N‑proper‑ms,H6134,1 Chronicles,2,596,37
שַׁמַּ֣י,H8060,šam·may,Shammai,N‑proper‑ms,H8060,1 Chronicles,2,599,37
וְיָדָ֑ע,H3047,wə·yā·ḏā‘;,and Jada,Conj‑w | N‑proper‑ms,H3047,1 Chronicles,2,600,37
וַאֲבִישֽׁוּר׃,H51,wa·’ă·ḇî·šūr.,and Abishur,Conj‑w | N‑proper‑ms,H51,1 Chronicles,2,604,37
אַחְבָּ֖ן,H257,’aḥ·bān,Ahban,N‑proper‑ms,H257,1 Chronicles,2,610,37
מוֹלִֽיד׃,H4140,mō·w·lîḏ.,Molid,N‑proper‑ms,H4140,1 Chronicles,2,612,37
סֶ֣לֶד,H5540,se·leḏ,[were] Seled,N‑proper‑ms,H5540,1 Chronicles,2,614,37
וְאַפָּ֑יִם,H649,wə·’ap·pā·yim;,and Appaim,Conj‑w | N‑proper‑ms,H649,1 Chronicles,2,615,37
יִשְׁעִ֑י,H3469,yiš·‘î;,[was] Ishi,N‑proper‑ms,H3469,1 Chronicles,2,621,37
שֵׁשָׁ֔ן,H8348,"šê·šān,",[was] Sheshan,N‑proper‑ms,H8348,1 Chronicles,2,624,37
אַחְלָֽי׃,H304,’aḥ·lāy.,[was] Ahlai,N‑proper‑ms,H304,1 Chronicles,2,627,37
