hebrew_word,lemma,transliteration,english_translation,parsing_abbreviation,strongs_number,book,chapter,ordinal,reading_order_position
אַחַ֗ת,H259,"’a·ḥaṯ,",of first,Number‑fs,H259,Ezra,1,1,38
לְכ֙וֹרֶשׁ֙,H3566,lə·ḵō·w·reš,Cyrus,Prep‑l | N‑proper‑ms,H3566,Ezra,1,2,38
מֶ֣לֶךְ,H4428,me·leḵ,king,N‑msc,H4428,Ezra,1,3,38
פָּרַ֔ס,H6539,"pā·ras,",of Persia,N‑proper‑fs,H6539,Ezra,1,4,38
לִכְל֥וֹת,H3615,liḵ·lō·wṯ,that might be fulfilled,Prep‑l | V‑Qal‑Inf,H3615,Ezra,1,5,38
דְּבַר־,H1697,də·ḇar-,the word,N‑msc,H1697,Ezra,1,6,38
יְהוָ֖ה,H3068,Yah·weh,of Yahweh,N‑proper‑ms,H3068,Ezra,1,7,38
מִפִּ֣י,H6310,mip·pî,by the mouth,Prep‑m | N‑msc,H6310,Ezra,1,8,38
יִרְמְיָ֑ה,H3414,yir·mə·yāh;,of Jeremiah,N‑proper‑ms,H3414,Ezra,1,9,38
הֵעִ֣יר,H5782,hê·‘îr,stirred up,V‑Hifil‑Perf‑3ms,H5782,Ezra,1,10,38
יְהוָ֗ה,H3068,Yah·weh,Yahweh,N‑proper‑ms,H3068,Ezra,1,11,38
אֶת־,H853,’eṯ-,-,DirObjM,H853,Ezra,1,12,38
ר֙וּחַ֙,H7307,rū·aḥ,the spirit,N‑csc,H7307,Ezra,1,13,38
כֹּ֣רֶשׁ,H3566,kō·reš,of Cyrus,N‑proper‑ms,H3566,Ezra,1,14,38
מֶֽלֶךְ־,H4428,me·leḵ-,king,N‑msc,H4428,Ezra,1,15,38
פָּרַ֔ס,H6539,"pā·ras,",of Persia,N‑proper‑fs,H6539,Ezra,1,16,38
וַיַּֽעֲבֶר־,H5674,way·ya·‘ă·ḇer-,so that he made,Conj‑w | V‑Hifil‑ConsecImperf‑3ms,H5674,Ezra,1,17,38
קוֹל֙,H6963,qō·wl,a proclamation,N‑ms,H6963,Ezra,1,18,38
בְּכָל־,H3605,bə·ḵāl,throughout all,Prep‑b | N‑msc,H3605,Ezra,1,19,38
מַלְכוּת֔וֹ,H4438,"mal·ḵū·ṯōw,",his kingdom,N‑fsc | 3ms,H4438,Ezra,1,20,38
וְגַם־,H1571,wə·ḡam-,and [put it],Conj‑w | Conj,H1571,Ezra,1,21,38
בְּמִכְתָּ֖ב,H4385,bə·miḵ·tāḇ,in writing,Prep‑b | N‑ms,H4385,Ezra,1,22,38
לֵאמֹֽר׃,H559,lê·mōr.,saying,Prep‑l | V‑Qal‑Inf,H559,Ezra,1,23,38
אָמַ֗ר,H559,"’ā·mar,",says,V‑Qal‑Perf‑3ms,H559,Ezra,1,24,38
כֹּ֚רֶשׁ,H3566,kō·reš,Cyrus,N‑proper‑ms,H3566,Ezra,1,25,38
מֶ֣לֶךְ,H4428,me·leḵ,king,N‑msc,H4428,Ezra,1,26,38
פָּרַ֔ס,H6539,"pā·ras,",of Persia,N‑proper‑fs,H6539,Ezra,1,27,38
כֹּ֚ל,H3605,kōl,all,N‑msc,H3605,Ezra,1,28,38
מַמְלְכ֣וֹת,H4467,mam·lə·ḵō·wṯ,the kingdoms,N‑fpc,H4467,Ezra,1,29,38
הָאָ֔רֶץ,H776,"hā·’ā·reṣ,",of the earth,Art | N‑fs,H776,Ezra,1,30,38
נָ֣תַן,H5414,nā·ṯan,has given,V‑Qal‑Perf‑3ms,H5414,Ezra,1,31,38
יְהוָ֖ה,H3068,Yah·weh,Yahweh,N‑proper‑ms,H3068,Ezra,1,32,38
אֱלֹהֵ֣י,H430,’ĕ·lō·hê,God,N‑mpc,H430,Ezra,1,33,38
הַשָּׁמָ֑יִם,H8064,haš·šā·mā·yim;,of heaven,Art | N‑mp,H8064,Ezra,1,34,38
וְהֽוּא־,H1931,wə·hū-,and He,Conj‑w | Pro‑3ms,H1931,Ezra,1,35,38
פָקַ֤ד,H6485,p̄ā·qaḏ,has commanded,V‑Qal‑Perf‑3ms,H6485,Ezra,1,36,38
עָלַי֙,H5921,‘ā·lay,me,Prep | 1cs,H5921,Ezra,1,37,38
לִבְנֽוֹת־,H1129,liḇ·nō·wṯ-,to build,Prep‑l | V‑Qal‑Inf,H1129,Ezra,1,38,38
בַ֔יִת,H1004,"ḇa·yiṯ,",a house,N‑ms,H1004,Ezra,1,39,38
בִּירוּשָׁלִַ֖ם,H3389,bî·rū·šā·lim,at Jerusalem,Prep‑b | N‑proper‑fs,H3389,Ezra,1,40,38
אֲשֶׁ֥ר,H834,’ă·šer,which [is],Pro‑r,H834,Ezra,1,41,38
בִּֽיהוּדָֽה׃,H3063,bî·hū·ḏāh.,in Judah,Prep‑b | N‑proper‑fs,H3063,Ezra,1,42,38
מִכָּל־,H3605,mik·kāl,of all,Prep‑m | N‑msc,H3605,Ezra,1,43,38
עַמּ֗וֹ,H5971,"‘am·mōw,",His people,N‑msc | 3ms,H5971,Ezra,1,44,38
יְהִ֤י,H1961,yə·hî,May be,V‑Qal‑Imperf.Jus‑3ms,H1961,Ezra,1,45,38
אֱלֹהָיו֙,H430,’ĕ·lō·hāw,his God,N‑mpc | 3ms,H430,Ezra,1,46,38
עִמּ֔וֹ,H5973,"‘im·mōw,",with him,Prep | 3ms,H5973,Ezra,1,47,38
וְיַ֕עַל,H5927,wə·ya·‘al,and let him go up,Conj‑w | V‑Qal‑ConjImperf.Jus‑3ms,H5927,Ezra,1,48,38
לִירוּשָׁלִַ֖ם,H3389,lî·rū·šā·lim,to Jerusalem,Prep‑l | N‑proper‑fs,H3389,Ezra,1,49,38
אֲשֶׁ֣ר,H834,’ă·šer,which [is],Pro‑r,H834,Ezra,1,50,38
בִּיהוּדָ֑ה,H3063,bî·hū·ḏāh;,in Judah,Prep‑b | N‑proper‑fs,H3063,Ezra,1,51,38
וְיִ֗בֶן,H1129,"wə·yi·ḇen,",and build,Conj‑w | V‑Qal‑ConjImperf.Jus‑3ms,H1129,Ezra,1,52,38
אֶת־,H853,’eṯ-,-,DirObjM,H853,Ezra,1,53,38
בֵּ֤ית,H1004,bêṯ,the house,N‑msc,H1004,Ezra,1,54,38
יְהוָה֙,H3068,Yah·weh,of Yahweh,N‑proper‑ms,H3068,Ezra,1,55,38
אֱלֹהֵ֣י,H430,’ĕ·lō·hê,God,N‑mpc,H430,Ezra,1,56,38
יִשְׂרָאֵ֔ל,H3478,"yiś·rā·’êl,",of Israel,N‑proper‑fs,H3478,Ezra,1,57,38
ה֥וּא,H1931,hū,He [is],Pro‑3ms,H1931,Ezra,1,58,38
הָאֱלֹהִ֖ים,H430,hā·’ĕ·lō·hîm,God,Art | N‑mp,H430,Ezra,1,59,38
אֲשֶׁ֥ר,H834,’ă·šer,which [is],Pro‑r,H834,Ezra,1,60,38
בִּירוּשָׁלִָֽם׃,H3389,bî·rū·šā·lim.,in Jerusalem,Prep‑b | N‑proper‑fs,H3389,Ezra,1,61,38
הַנִּשְׁאָ֗ר,H7604,"han·niš·’ār,",is left,Art | V‑Nifal‑Prtcpl‑ms,H7604,Ezra,1,62,38
מִֽכָּל־,H3605,mik·kāl,in any,Prep‑m | N‑msc,H3605,Ezra,1,63,38
הַמְּקֹמוֹת֮,H4725,ham·mə·qō·mō·wṯ,place,Art | N‑mp,H4725,Ezra,1,64,38
אֲשֶׁ֣ר,H834,’ă·šer,where,Pro‑r,H834,Ezra,1,65,38
ה֣וּא,H1931,hū,he,Pro‑3ms,H1931,Ezra,1,66,38
גָֽר־,H1481,ḡār-,dwells,V‑Qal‑Prtcpl‑ms,H1481,Ezra,1,67,38
שָׁם֒,H8033,šām,in it,Adv,H8033,Ezra,1,68,38
יְנַשְּׂא֙וּהוּ֙,H5375,yə·naś·śə·’ū·hū,let help him,V‑Piel‑Imperf‑3mp | 3ms,H5375,Ezra,1,69,38
אַנְשֵׁ֣י,H376,’an·šê,the men,N‑mpc,H376,Ezra,1,70,38
מְקֹמ֔וֹ,H4725,"mə·qō·mōw,",of his place,N‑msc | 3ms,H4725,Ezra,1,71,38
בְּכֶ֥סֶף,H3701,bə·ḵe·sep̄,with silver,Prep‑b | N‑ms,H3701,Ezra,1,72,38
וּבְזָהָ֖ב,H2091,ū·ḇə·zā·hāḇ,and gold,"Conj‑w, Prep‑b | N‑ms",H2091,Ezra,1,73,38
