hebrew_word,lemma,transliteration,english_translation,parsing_abbreviation,strongs_number,book,chapter,ordinal,reading_order_position
שָׁל֔וֹשׁ,H7969,"šā·lō·wōš,",third,Number‑fs,H7969,Daniel,1,1,39
לְמַלְכ֖וּת,H4438,lə·mal·ḵūṯ,of the reign,Prep‑l | N‑fsc,H4438,Daniel,1,2,39
יְהוֹיָקִ֣ים,H3079,yə·hō·w·yā·qîm,of Jehoiakim,N‑proper‑ms,H3079,Daniel,1,3,39
מֶֽלֶךְ־,H4428,me·leḵ-,king,N‑msc,H4428,Daniel,1,4,39
יְהוּדָ֑ה,H3063,yə·hū·ḏāh;,of Judah,N‑proper‑ms,H3063,Daniel,1,5,39
בָּ֣א,H935,bā,came,V‑Qal‑Perf‑3ms,H935,Daniel,1,6,39
נְבוּכַדְנֶאצַּ֧ר,H5019,nə·ḇū·ḵaḏ·neṣ·ṣar,Nebuchadnezzar,N‑proper‑ms,H5019,Daniel,1,7,39
בָּבֶ֛ל,H894,bā·ḇel,of Babylon,N‑proper‑fs,H894,Daniel,1,9,39
יְרוּשָׁלִַ֖ם,H3389,yə·rū·šā·lim,to Jerusalem,N‑proper‑fs,H3389,Daniel,1,10,39
וַיָּ֥צַר,H6696,way·yā·ṣar,and besieged,Conj‑w | V‑Qal‑ConsecImperf‑3ms,H6696,Daniel,1,11,39
עָלֶֽיהָ׃,H5921,‘ā·le·hā.,it,Prep | 3fs,H5921,Daniel,1,12,39
אֲדֹנָ֨י,H136,’ă·ḏō·nāy,the Lord,N‑proper‑ms,H136,Daniel,1,13,39
בְּיָד֜וֹ,H3027,bə·yā·ḏōw,into his hand,Prep‑b | N‑fsc | 3ms,H3027,Daniel,1,14,39
אֶת־,H853,’eṯ-,-,DirObjM,H853,Daniel,1,15,39
וּמִקְצָת֙,H7117,ū·miq·ṣāṯ,and with some,"Conj‑w, Prep‑m | N‑fsc",H7117,Daniel,1,19,39
כְּלֵ֣י,H3627,kə·lê,of the articles,N‑mpc,H3627,Daniel,1,20,39
בֵית־,H1004,ḇêṯ-,of the house,N‑msc,H1004,Daniel,1,21,39
הָֽאֱלֹהִ֔ים,H430,"hā·’ĕ·lō·hîm,",of God,Art | N‑mp,H430,Daniel,1,22,39
אֶֽרֶץ־,H776,’e·reṣ-,into the land,N‑fsc,H776,Daniel,1,24,39
שִׁנְעָ֖ר,H8152,šin·‘ār,of Shinar,N‑proper‑fs,H8152,Daniel,1,25,39
אוֹצַ֥ר,H214,’ō·w·ṣar,of the treasure,N‑msc,H214,Daniel,1,32,39
לְאַשְׁפְּנַ֖ז,H828,lə·’aš·pə·naz,Ashpenaz,Prep‑l | N‑proper‑ms,H828,Daniel,1,35,39
רַ֣ב,H7227,raḇ,the master,N‑msc,H7227,Daniel,1,36,39
